unit_type,u,grat_contrast,grat_orientation,response,smoothed_response
excit,6,0.186966,135,0.003997948291666667,0.004078968416666667
excit,6,0.186966,150,0.003972739583333333,0.003925895916666667
excit,6,0.186966,165,0.0031982831666666667,0.003158511541666667
excit,6,0.303066,0,0.004837390791666667,0.004883518583333334
excit,6,0.303066,15,0.004577890833333333,0.004659909166666667
excit,6,0.303066,30,0.00487183225,0.0049388925
excit,6,0.303066,45,0.005898392125,0.005765620458333333
excit,6,0.303066,60,0.005991012666666667,0.005898420416666667
excit,6,0.303066,75,0.005127359166666667,0.00505977
excit,6,0.303066,90,0.005643641666666667,0.005550474583333333
excit,6,0.303066,105,0.0045615412499999996,0.004801127625
excit,6,0.303066,120,0.004026483333333333,0.004293530541666667
excit,6,0.303066,135,0.005557181291666667,0.005628789166666666
excit,6,0.303066,150,0.0039825245,0.00428283125
excit,6,0.303066,165,0.005836525041666666,0.00577164125
excit,6,0.464386,0,0.0077077291666666665,0.007727164166666667
excit,6,0.464386,15,0.0058594479166666665,0.006025146249999999
excit,6,0.464386,30,0.00573131125,0.005618218916666667
excit,6,0.464386,45,0.006066113333333334,0.006105133874999999
excit,6,0.464386,60,0.008075135875,0.008168882083333334
excit,6,0.464386,75,0.007143904625,0.006919356291666667
excit,6,0.464386,90,0.008896896166666666,0.008540429166666667
excit,6,0.464386,105,0.007494884166666667,0.00731259
excit,6,0.464386,120,0.0070147029166666664,0.006967212625
excit,6,0.464386,135,0.00714915875,0.00719135375
excit,6,0.464386,150,0.006474217083333333,0.006412770125000001
excit,6,0.464386,165,0.007428952083333333,0.007367952083333334
excit,6,0.68854,0,0.009414572500000001,0.0089027
excit,6,0.68854,15,0.009224495416666667,0.00893734
excit,6,0.68854,30,0.008189616666666667,0.0081175965
excit,6,0.68854,45,0.008426365416666666,0.008515950416666666
excit,6,0.68854,60,0.008240514625,0.008344657541666666
excit,6,0.68854,75,0.008326807083333334,0.008380130416666668
excit,6,0.68854,90,0.011016167916666667,0.010194059833333333
excit,6,0.68854,105,0.0077127616666666675,0.007456689999999999
excit,6,0.68854,120,0.008840379583333334,0.008671975833333333
excit,6,0.68854,135,0.008115155,0.00837823125
excit,6,0.68854,150,0.0082080625,0.00816304
excit,6,0.68854,165,0.01058483375,0.010186857083333334
excit,6,1.0,0,0.009289626666666667,0.009342845416666667
excit,6,1.0,15,0.0114355375,0.010708324458333333
excit,6,1.0,30,0.010890070416666666,0.010554634166666667
excit,6,1.0,45,0.00980740375,0.009616667916666667
excit,6,1.0,60,0.010169517083333334,0.010013909583333333
excit,6,1.0,75,0.010800017916666666,0.010620217500000001
excit,6,1.0,90,0.012273030416666665,0.01175505875
excit,6,1.0,105,0.010100557083333335,0.009758512916666667
excit,6,1.0,120,0.00907307875,0.009126169666666666
excit,6,1.0,135,0.00963927875,0.009709493333333334
excit,6,1.0,150,0.010552126625,0.010203157458333334
excit,6,1.0,165,0.012112202916666667,0.01136271625
excit,9,0.0,0,0.0003078998611111111,0.0003588374027777778
excit,9,0.0,15,0.0005484273472222222,0.0006268233611111112
excit,9,0.0,30,0.00038326297222222226,0.00043166726388888893
excit,9,0.0,45,0.00037000023611111107,0.00041367076388888887
excit,9,0.0,60,0.0004054813472222222,0.00043717288888888887
excit,9,0.0,75,0.00039150168055555553,0.00048139036111111117
excit,9,0.0,90,0.00034968772222222224,0.0003872556527777778
excit,9,0.0,105,0.0002949889861111111,0.00040004725
excit,9,0.0,120,0.00038372893055555553,0.0004656615833333333
excit,9,0.0,135,0.0004958896944444444,0.0005254176388888889
excit,9,0.0,150,0.0002910725833333333,0.00039280827777777775
excit,9,0.0,165,0.0004798780416666667,0.0005185258333333334
excit,9,0.0432773,0,0.0004981024444444445,0.0005395363472222222
excit,9,0.0432773,15,0.0005006027222222222,0.0005278587222222222
excit,9,0.0432773,30,0.0005964988055555555,0.0006453147638888889
excit,9,0.0432773,45,0.0005148545555555555,0.0005382969444444445
excit,9,0.0432773,60,0.0003801555972222222,0.00046624815277777784
excit,9,0.0432773,75,0.0005170996944444444,0.0005809671944444444
excit,9,0.0432773,90,0.00043389108333333334,0.0005139970138888889
excit,9,0.0432773,105,0.0005908043055555556,0.0006385740694444445
excit,9,0.0432773,120,0.0005027339027777778,0.0005101880694444445
excit,9,0.0432773,135,0.0006322979722222222,0.0006500878472222222
excit,9,0.0432773,150,0.0007966100694444444,0.0008667764027777778
excit,9,0.0432773,165,0.0003557691111111111,0.00038497633333333336
excit,9,0.103411,0,0.0005381945277777778,0.0005754515972222222
excit,9,0.103411,15,0.0005026551805555556,0.0006039836388888889
excit,9,0.103411,30,0.0004929306111111111,0.0005357677638888888
excit,9,0.103411,45,0.0005908112222222222,0.0006605684444444445
excit,9,0.103411,60,0.0006066759722222222,0.0006644883888888889
excit,9,0.103411,75,0.0007542186666666667,0.0007792286944444444
excit,9,0.103411,90,0.0007371555694444445,0.0006839861111111111
excit,9,0.103411,105,0.0006288284722222223,0.0006576805277777778
excit,9,0.103411,120,0.0007027917083333333,0.0007570706527777778
excit,9,0.103411,135,0.0004327807916666667,0.0004423268375
excit,9,0.103411,150,0.000633976111111111,0.0006551033611111112
excit,9,0.103411,165,0.001055441888888889,0.0010165251249999998
excit,9,0.186966,0,0.0006161687083333333,0.0006128552222222222
excit,9,0.186966,15,0.0007321263055555556,0.0008268635277777778
excit,9,0.186966,30,0.0010076689861111111,0.0010331961944444444
excit,9,0.186966,45,0.0007849909722222223,0.0008501835972222222
excit,9,0.186966,60,0.0010948592083333333,0.0011312133888888888
excit,9,0.186966,75,0.001216465611111111,0.00124158975
excit,9,0.186966,90,0.0008796845138888888,0.0009172276388888889
excit,9,0.186966,105,0.0013062868194444444,0.0012241151666666668
excit,9,0.186966,120,0.0011796951527777778,0.0011502313888888888
excit,9,0.186966,135,0.0006252531944444445,0.0006560161527777778
excit,9,0.186966,150,0.0007428517083333334,0.0008198570416666667
excit,9,0.186966,165,0.0005485183333333333,0.0006534670277777777
excit,9,0.303066,0,0.001030619013888889,0.0010776470000000002
excit,9,0.303066,15,0.001168318125,0.001170709625
excit,9,0.303066,30,0.0012045112222222223,0.001235242652777778
excit,9,0.303066,45,0.0014605202222222223,0.0014311896944444445
excit,9,0.303066,60,0.0015388626111111111,0.0015030605416666667
