u,unit_type,grat_orientation,grat_contrast,grat_spat_freq,grat_phase,response,smoothed_response
2,excit,15,0.186966,0.138612,90,0.0,0.0
2,excit,15,0.186966,0.138612,180,0.000922509,0.000553506
2,excit,15,0.186966,0.138612,270,0.00327154,0.00261723
2,excit,15,0.186966,0.332966,0,0.000856898,0.000856898
2,excit,15,0.186966,0.332966,90,0.00449775,0.0047976
2,excit,15,0.186966,0.332966,180,0.0,0.0
2,excit,15,0.186966,0.332966,270,0.0,0.000436205
2,excit,15,0.186966,0.799834,0,0.0,0.000342466
2,excit,15,0.186966,0.799834,90,0.000856164,0.000684932
2,excit,15,0.186966,0.799834,180,0.000999001,0.000699301
2,excit,15,0.186966,0.799834,270,0.000999001,0.000799201
2,excit,15,0.303066,0.01,0,0.0,0.000218103
2,excit,15,0.303066,0.01,90,0.0,0.000342466
2,excit,15,0.303066,0.01,180,0.0,0.0
2,excit,15,0.303066,0.01,270,0.00149925,0.00149925
2,excit,15,0.303066,0.0240215,0,0.0,0.0
2,excit,15,0.303066,0.0240215,90,0.0,0.0
2,excit,15,0.303066,0.0240215,180,0.0,0.0
2,excit,15,0.303066,0.0240215,270,0.000799361,0.000959233
2,excit,15,0.303066,0.0577032,0,0.0,0.0
2,excit,15,0.303066,0.0577032,90,0.000856164,0.0010274
2,excit,15,0.303066,0.0577032,180,0.0,0.0
2,excit,15,0.303066,0.0577032,270,0.0,0.000239808
2,excit,15,0.303066,0.138612,0,0.00109051,0.00152672
2,excit,15,0.303066,0.138612,90,0.002,0.002
2,excit,15,0.303066,0.138612,180,0.00133156,0.00133156
2,excit,15,0.303066,0.138612,270,0.0,0.000922509
2,excit,15,0.303066,0.332966,0,0.000705219,0.000705219
2,excit,15,0.303066,0.332966,90,0.0,0.0
2,excit,15,0.303066,0.332966,180,0.0,0.0
2,excit,15,0.303066,0.332966,270,0.0,0.00029985
2,excit,15,0.303066,0.799834,0,0.00179856,0.00155875
2,excit,15,0.303066,0.799834,90,0.0,0.0
2,excit,15,0.303066,0.799834,180,0.001998,0.0013986
2,excit,15,0.303066,0.799834,270,0.0,0.000342466
2,excit,15,0.464386,0.01,0,0.00133156,0.00133156
2,excit,15,0.464386,0.01,90,0.00119904,0.00119904
2,excit,15,0.464386,0.01,180,0.00109051,0.00087241
2,excit,15,0.464386,0.01,270,0.0,0.000684932
2,excit,15,0.464386,0.0240215,0,0.0,0.0
2,excit,15,0.464386,0.0240215,90,0.0,0.0
2,excit,15,0.464386,0.0240215,180,0.00184502,0.00147601
2,excit,15,0.464386,0.0240215,270,0.0,0.0
2,excit,15,0.464386,0.0577032,0,0.00119904,0.000959233
2,excit,15,0.464386,0.0577032,90,0.0,0.0
2,excit,15,0.464386,0.0577032,180,0.0,0.0
2,excit,15,0.464386,0.0577032,270,0.00149925,0.00149925
2,excit,15,0.464386,0.138612,0,0.0,0.000532623
2,excit,15,0.464386,0.138612,90,0.0,0.0
2,excit,15,0.464386,0.138612,180,0.00149925,0.00149925
2,excit,15,0.464386,0.138612,270,0.0,0.0
2,excit,15,0.464386,0.332966,0,0.000799361,0.000799361
2,excit,15,0.464386,0.332966,90,0.00159872,0.00127898
2,excit,15,0.464386,0.332966,180,0.00141044,0.00126939
2,excit,15,0.464386,0.332966,270,0.000856164,0.00136986
2,excit,15,0.464386,0.799834,0,0.0,0.0
2,excit,15,0.464386,0.799834,90,0.0,0.000119904
2,excit,15,0.464386,0.799834,180,0.000799361,0.00127898
2,excit,15,0.464386,0.799834,270,0.0,0.0
2,excit,15,0.68854,0.01,0,0.00239808,0.00167866
2,excit,15,0.68854,0.01,90,0.00171233,0.00171233
2,excit,15,0.68854,0.01,180,0.0,0.000218103
2,excit,15,0.68854,0.01,270,0.000999001,0.000799201
2,excit,15,0.68854,0.0240215,0,0.000705219,0.000705219
